id,birthtime_1,birthtime_2,birthtime_3,birthtime_4,birthtime_5,birthtime_6,birthtime_7,birthtime_8,birthtime_9,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23,birthtime_24,birthtime_25,birthtime_26,birthtime_27,birthtime_28,birthtime_29,birthtime_30,birthtime_31,birthtime_32,birthtime_33,birthtime_34,birthtime_35,birthtime_36,birthtime_37,birthtime_38,birthtime_39,birthtime_40,birthtime_41,birthtime_42,birthtime_43,birthtime_44,birthtime_45,birthtime_46,birthtime_47,birthtime_48,birthtime_49,birthtime_50,birthtime_51,birthtime_52,birthtime_53,birthtime_54,birthtime_55,birthtime_56,birthtime_57,birthtime_58,birthtime_59,birthtime_60,birthtime_61,birthtime_62,birthtime_63,birthtime_64,birthtime_65,birthtime_66,birthtime_67,birthtime_68,birthtime_69,birthtime_70,birthtime_71,birthtime_72,birthtime_73,birthtime_74,birthtime_75,birthtime_76,birthtime_77,birthtime_78,birthtime_79,birthtime_80,birthtime_81,birthtime_82,birthtime_83,birthtime_84,birthtime_85,birthtime_86,birthtime_87,birthtime_88,birthtime_89,birthtime_90,birthtime_91,birthtime_92,birthtime_93,birthtime_94,birthtime_95,birthtime_96,birthtime_97
11,202.516666666667,212.516666666667,225.016666666667,287.516666666667,292.516666666667,300.016666666667,322.516666666667,332.533333333333,345.016666666667,392.516666666667,405.016666666667,422.516666666667,440.016666666667,495.016666666667,502.516666666667,522.516666666667,565.016666666667,575.016666666667,587.516666666667,640.016666666667,657.516666666667,717.516666666667,732.516666666667,752.516666666667,762.516666666667,767.516666666667,785.016666666667,810.033333333333,877.516666666667,887.516666666667,935.016666666667,955.016666666667,962.516666666667,1015.01666666667,1032.51666666667,1057.51666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,95.0166666666667,107.516666666667,155.016666666667,177.516666666667,185.016666666667,265.016666666667,277.516666666667,297.516666666667,310.016666666667,330.016666666667,345.016666666667,362.516666666667,372.516666666667,380.016666666667,392.516666666667,397.516666666667,402.516666666667,410.016666666667,425.016666666667,450.016666666667,467.516666666667,472.516666666667,490.016666666667,497.516666666667,502.516666666667,520.016666666667,527.516666666667,542.516666666667,565.016666666667,572.516666666667,585.016666666667,617.516666666667,632.516666666667,650.016666666667,662.516666666667,675.016666666667,685.016666666667,695.016666666667,705.016666666667,715.016666666667,722.516666666667,740.016666666667,745.016666666667,757.516666666667,765.016666666667,770.016666666667,775.016666666667,797.533333333333,812.516666666667,817.516666666667,827.516666666667,835.033333333333,842.533333333333,850.033333333333,857.533333333333,862.516666666667,872.516666666667,882.516666666667,887.516666666667,897.516666666667,910.016666666667,985.016666666667,995.016666666667,1002.51666666667,1010.01666666667,1022.51666666667,1062.51666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,102.516666666667,152.516666666667,167.516666666667,225.016666666667,232.516666666667,245.016666666667,262.516666666667,270.016666666667,340.016666666667,347.516666666667,357.516666666667,367.516666666667,377.516666666667,387.516666666667,392.516666666667,397.516666666667,410.016666666667,422.516666666667,435.016666666667,505.016666666667,515.016666666667,530.016666666667,537.516666666667,542.516666666667,565.016666666667,575.016666666667,590.016666666667,605.016666666667,647.516666666667,657.516666666667,665.016666666667,677.516666666667,692.516666666667,775.016666666667,835.033333333333,842.533333333333,855.033333333333,865.016666666667,887.516666666667,932.516666666667,952.516666666667,960.016666666667,977.516666666667,1040.01666666667,1045.01666666667,1055.01666666667,1062.51666666667,1072.51666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,32.5166666666667,95.0166666666667,105.016666666667,120.016666666667,140.016666666667,160.016666666667,180.016666666667,222.516666666667,237.516666666667,400.016666666667,457.516666666667,467.516666666667,477.516666666667,485.016666666667,492.516666666667,505.016666666667,512.516666666667,552.516666666667,565.016666666667,572.516666666667,580.016666666667,587.516666666667,627.516666666667,635.016666666667,665.016666666667,675.016666666667,687.516666666667,695.016666666667,700.016666666667,725.016666666667,747.516666666667,760.016666666667,835.033333333333,845.033333333333,935.016666666667,952.516666666667,962.516666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,110.016666666667,162.516666666667,177.516666666667,190.016666666667,225.016666666667,240.016666666667,247.516666666667,272.516666666667,297.516666666667,310.016666666667,317.516666666667,337.516666666667,345.016666666667,350.016666666667,360.016666666667,370.016666666667,380.016666666667,387.516666666667,397.516666666667,407.516666666667,420.016666666667,430.016666666667,440.016666666667,447.516666666667,462.516666666667,480.016666666667,492.516666666667,497.516666666667,505.016666666667,515.016666666667,532.516666666667,560.016666666667,567.516666666667,587.516666666667,597.516666666667,727.516666666667,787.516666666667,797.533333333333,805.016666666667,810.033333333333,820.016666666667,850.033333333333,875.016666666667,917.516666666667,942.516666666667,950.016666666667,960.016666666667,967.516666666667,975.016666666667,990.016666666667,1002.51666666667,1010.01666666667,1017.51666666667,1032.51666666667,1042.51666666667,1060.01666666667,1072.51666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,15.0166666666667,27.5166666666667,80.0166666666667,92.5166666666667,142.516666666667,160.016666666667,177.516666666667,217.516666666667,232.516666666667,242.516666666667,252.516666666667,295.016666666667,305.016666666667,320.016666666667,500.016666666667,532.516666666667,547.516666666667,570.016666666667,580.016666666667,587.516666666667,597.516666666667,610.016666666667,620.016666666667,630.016666666667,642.516666666667,650.016666666667,660.016666666667,675.016666666667,685.016666666667,697.516666666667,707.516666666667,720.016666666667,727.516666666667,742.516666666667,752.516666666667,760.016666666667,772.516666666667,782.516666666667,790.016666666667,845.033333333333,855.033333333333,867.516666666667,877.516666666667,885.016666666667,892.516666666667,902.516666666667,920.016666666667,925.016666666667,962.516666666667,980.016666666667,990.016666666667,1012.51666666667,1035.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,207.516666666667,245.016666666667,255.016666666667,267.516666666667,307.516666666667,312.516666666667,330.016666666667,340.016666666667,402.516666666667,447.516666666667,462.516666666667,482.516666666667,497.516666666667,502.516666666667,555.016666666667,565.016666666667,572.516666666667,587.516666666667,602.516666666667,615.016666666667,645.016666666667,715.016666666667,722.516666666667,747.516666666667,812.516666666667,825.016666666667,840.033333333333,865.016666666667,885.016666666667,895.016666666667,930.016666666667,940.016666666667,947.516666666667,952.516666666667,1032.51666666667,1047.51666666667,1055.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,265.016666666667,272.516666666667,285.016666666667,295.016666666667,315.016666666667,467.516666666667,480.016666666667,487.516666666667,510.016666666667,567.516666666667,577.516666666667,600.016666666667,605.016666666667,650.016666666667,660.016666666667,672.516666666667,677.516666666667,687.516666666667,742.516666666667,750.016666666667,787.516666666667,795.033333333333,800.033333333333,810.033333333333,825.016666666667,862.516666666667,882.516666666667,900.016666666667,922.516666666667,932.516666666667,937.516666666667,947.516666666667,977.516666666667,992.516666666667,1005.01666666667,1042.51666666667,1075.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,102.516666666667,152.516666666667,160.016666666667,655.016666666667,665.016666666667,675.016666666667,692.516666666667,702.516666666667,720.016666666667,737.516666666667,745.016666666667,750.016666666667,755.016666666667,762.516666666667,785.016666666667,797.533333333333,810.033333333333,822.533333333333,827.516666666667,835.033333333333,842.533333333333,847.533333333333,855.033333333333,867.516666666667,877.516666666667,885.016666666667,902.516666666667,917.516666666667,922.516666666667,930.016666666667,937.516666666667,945.016666666667,952.516666666667,960.016666666667,970.016666666667,977.516666666667,985.016666666667,1002.51666666667,1015.01666666667,1022.51666666667,1032.51666666667,1040.01666666667,1050.01666666667,1060.01666666667,1070.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1002.51666666667,1050.01666666667,1060.01666666667,1067.51666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,10.0166666666667,17.5,62.5166666666667,70.0166666666667,85.0166666666667,95.0166666666667,105.016666666667,132.516666666667,137.516666666667,155.016666666667,165.016666666667,172.516666666667,180.016666666667,187.516666666667,195.016666666667,270.016666666667,317.516666666667,327.516666666667,337.516666666667,342.516666666667,382.516666666667,395.016666666667,412.516666666667,432.516666666667,452.516666666667,502.516666666667,515.016666666667,525.016666666667,535.016666666667,555.016666666667,562.516666666667,592.516666666667,597.516666666667,602.516666666667,617.516666666667,640.016666666667,677.516666666667,687.516666666667,692.516666666667,707.516666666667,725.016666666667,787.516666666667,827.516666666667,902.516666666667,910.016666666667,915.016666666667,937.516666666667,947.516666666667,960.016666666667,1020.01666666667,1027.51666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,155.016666666667,215.016666666667,245.016666666667,282.516666666667,295.016666666667,305.016666666667,320.016666666667,335.016666666667,342.516666666667,350.016666666667,375.016666666667,382.516666666667,390.016666666667,395.016666666667,405.016666666667,417.516666666667,432.516666666667,447.516666666667,460.016666666667,477.516666666667,485.016666666667,492.516666666667,500.016666666667,507.516666666667,512.516666666667,520.016666666667,525.016666666667,532.516666666667,540.016666666667,570.016666666667,690.016666666667,705.016666666667,720.016666666667,735.016666666667,747.516666666667,790.016666666667,805.016666666667,815.033333333333,827.516666666667,837.516666666667,847.533333333333,857.533333333333,870.016666666667,877.516666666667,887.516666666667,895.016666666667,905.016666666667,912.516666666667,930.016666666667,945.016666666667,950.016666666667,957.516666666667,965.016666666667,982.516666666667,990.016666666667,1002.51666666667,1010.01666666667,1020.01666666667,1025.01666666667,1032.51666666667,1045.01666666667,1052.51666666667,1062.51666666667,1070.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,2.51666666666667,10.0166666666667,22.5166666666667,80.0166666666667,87.5166666666667,137.516666666667,145.016666666667,165.016666666667,225.016666666667,245.016666666667,255.016666666667,305.016666666667,310.016666666667,317.516666666667,325.016666666667,337.516666666667,347.516666666667,367.516666666667,377.516666666667,385.016666666667,390.016666666667,405.016666666667,415.016666666667,422.516666666667,432.516666666667,440.016666666667,455.016666666667,512.516666666667,520.016666666667,540.016666666667,547.516666666667,555.016666666667,565.016666666667,610.016666666667,625.016666666667,635.016666666667,660.016666666667,665.016666666667,680.016666666667,692.516666666667,850.033333333333,857.533333333333,922.516666666667,952.516666666667,957.516666666667,982.516666666667,990.016666666667,1010.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,157.516666666667,185.016666666667,192.516666666667,202.516666666667,217.516666666667,232.516666666667,242.516666666667,275.016666666667,282.516666666667,310.016666666667,322.516666666667,332.533333333333,345.016666666667,362.516666666667,375.016666666667,382.516666666667,392.516666666667,402.516666666667,462.516666666667,475.016666666667,500.016666666667,507.516666666667,525.016666666667,530.016666666667,537.516666666667,550.016666666667,562.516666666667,575.016666666667,602.516666666667,617.516666666667,625.016666666667,652.516666666667,697.516666666667,720.016666666667,727.516666666667,737.516666666667,745.016666666667,755.016666666667,762.516666666667,772.516666666667,802.533333333333,815.033333333333,842.533333333333,865.016666666667,877.516666666667,927.516666666667,947.516666666667,962.516666666667,970.016666666667,975.016666666667,987.516666666667,995.016666666667,1002.51666666667,1010.01666666667,1017.51666666667,1045.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5.01666666666667,12.5166666666667,20.0166666666667,27.5166666666667,102.516666666667,147.516666666667,155.016666666667,162.516666666667,227.516666666667,232.516666666667,287.516666666667,315.016666666667,330.016666666667,395.016666666667,402.516666666667,412.516666666667,487.516666666667,495.016666666667,505.016666666667,562.516666666667,577.516666666667,585.016666666667,617.516666666667,627.516666666667,635.016666666667,642.516666666667,655.016666666667,705.016666666667,752.516666666667,765.016666666667,770.016666666667,780.016666666667,795.033333333333,802.533333333333,810.033333333333,947.516666666667,955.016666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,122.516666666667,182.516666666667,195.016666666667,227.516666666667,232.516666666667,240.016666666667,247.516666666667,305.016666666667,312.516666666667,320.016666666667,335.016666666667,342.516666666667,362.516666666667,420.016666666667,482.516666666667,505.016666666667,540.016666666667,595.016666666667,625.016666666667,655.016666666667,677.516666666667,687.516666666667,707.516666666667,720.016666666667,782.516666666667,807.533333333333,855.033333333333,862.516666666667,870.016666666667,882.516666666667,927.516666666667,937.516666666667,947.516666666667,955.016666666667,965.016666666667,972.516666666667,990.016666666667,1032.51666666667,1042.51666666667,1052.51666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,145.016666666667,215.016666666667,222.516666666667,265.016666666667,275.016666666667,307.516666666667,322.516666666667,335.016666666667,342.516666666667,352.516666666667,385.016666666667,397.516666666667,432.516666666667,470.016666666667,475.016666666667,592.516666666667,615.016666666667,622.516666666667,632.516666666667,637.516666666667,647.516666666667,660.016666666667,707.516666666667,720.016666666667,727.516666666667,735.016666666667,752.516666666667,782.516666666667,792.516666666667,802.533333333333,807.533333333333,822.533333333333,867.516666666667,875.016666666667,880.016666666667,892.516666666667,900.016666666667,952.516666666667,967.516666666667,992.516666666667,1055.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,10.0166666666667,42.5166666666667,52.5166666666667,60.0166666666667,97.5166666666667,147.516666666667,152.516666666667,162.516666666667,222.516666666667,227.516666666667,290.016666666667,297.516666666667,302.516666666667,310.016666666667,315.016666666667,325.016666666667,337.516666666667,345.016666666667,362.516666666667,372.516666666667,407.516666666667,472.516666666667,497.516666666667,505.016666666667,510.016666666667,592.516666666667,645.016666666667,652.516666666667,660.016666666667,700.016666666667,722.516666666667,730.016666666667,755.016666666667,762.516666666667,775.016666666667,805.016666666667,822.533333333333,832.533333333333,845.033333333333,867.516666666667,910.016666666667,922.516666666667,927.516666666667,935.016666666667,957.516666666667,970.016666666667,977.516666666667,1002.51666666667,1007.51666666667,1017.51666666667,1040.01666666667,1045.01666666667,1052.51666666667,1060.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,35.0166666666667,42.5166666666667,50.0166666666667,55.0166666666667,77.5166666666667,97.5166666666667,105.016666666667,175.016666666667,182.516666666667,235.016666666667,242.516666666667,250.016666666667,260.016666666667,267.516666666667,537.516666666667,542.516666666667,555.016666666667,562.516666666667,572.516666666667,580.016666666667,585.016666666667,597.516666666667,605.016666666667,617.516666666667,625.016666666667,655.016666666667,675.016666666667,707.516666666667,747.516666666667,762.516666666667,780.016666666667,882.516666666667,900.016666666667,950.016666666667,965.016666666667,980.016666666667,987.516666666667,992.516666666667,1002.51666666667,1050.01666666667,1060.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,45.0166666666667,105.016666666667,132.516666666667,142.516666666667,147.516666666667,190.016666666667,202.516666666667,210.016666666667,222.516666666667,257.516666666667,262.516666666667,287.516666666667,292.516666666667,300.016666666667,307.516666666667,330.016666666667,337.516666666667,360.016666666667,367.516666666667,382.516666666667,392.516666666667,405.016666666667,412.516666666667,425.016666666667,435.016666666667,440.016666666667,452.516666666667,465.016666666667,475.016666666667,482.516666666667,492.516666666667,505.016666666667,520.016666666667,532.516666666667,537.516666666667,545.016666666667,552.516666666667,560.016666666667,567.516666666667,575.016666666667,592.516666666667,605.016666666667,620.016666666667,660.016666666667,730.016666666667,742.516666666667,750.016666666667,765.016666666667,782.516666666667,807.533333333333,842.533333333333,855.033333333333,867.516666666667,880.016666666667,907.516666666667,917.516666666667,987.516666666667,1027.51666666667,1032.51666666667,1047.51666666667,1055.01666666667,1065.01666666667,1070.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,2.51666666666667,20.0166666666667,37.5,52.5166666666667,110.016666666667,115.016666666667,190.016666666667,242.516666666667,252.516666666667,262.516666666667,297.516666666667,305.016666666667,312.516666666667,325.016666666667,337.516666666667,345.016666666667,357.516666666667,362.516666666667,387.516666666667,455.016666666667,460.016666666667,477.516666666667,482.516666666667,552.516666666667,565.016666666667,577.516666666667,630.016666666667,645.016666666667,710.016666666667,762.516666666667,770.016666666667,785.016666666667,847.533333333333,855.033333333333,865.016666666667,872.516666666667,932.516666666667,952.516666666667,977.516666666667,990.016666666667,1052.51666666667,1060.01666666667,1070.01666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
